"Number Cores","Number Qubits","Number Circuits","Pilot start","Total","Compute"
1,25,1024,12.603646993637085,4825.918761014938,4813.307105064392
2,25,1024,12.509664058685303,2642.432761192322,2629.9140951633453
4,25,1024,12.727195024490356,1491.2361850738525,1478.4993600845337
8,25,1024,12.631526947021484,1052.019061088562,1039.3478410243988
16,25,1024,13.360765218734741,1019.8572790622711,1006.436961889267
